cidades;cep
Brejao;55325-000 a 55329-999
Buenos Aires;55845-000 a 55849-999
Buique;56520-000 a 56539-999
Cabo de Santo Agostinho;54500-001 a 54599-999
Cabo de Santo Agostinho;54500-001 a 54589-999
Cabrobo;56180-000 a 56189-999
Cachoeirinha;55380-000 a 55384-999
Caetes;55360-000 a 55364-999
Calumbi;56930-000 a 56949-999
Calcado;55375-000 a 55379-999
Camaragibe;54750-001 a 54799-999
Camocim de Sao Felix;55665-000 a 55669-999
Camutanga;55930-000 a 55939-999
Canhotinho;55420-000 a 55429-999
Capoeiras;55365-000 a 55369-999
Carnaubeira da Penha;56420-000 a 56429-999
Carnaiba;56820-000 a 56827-999
Carpina;55810-001 a 55819-999
Carpina;55810-001 a 55819-800
Caruaru;55000-001 a 55119-999
Caruaru;55000-001 a 55099-999
Casinhas;55755-000 a 55759-999
Catende;55400-000 a 55404-999
Cedro;56130-000 a 56139-999
Cha Grande;55636-000 a 55639-999
Cha de Alegria;55835-000 a 55839-999
Condado;55940-000 a 55949-999
Correntes;55315-000 a 55319-999
Cortes;55525-000 a 55529-999
Cumaru;55655-000 a 55659-999
Cupira;55460-000 a 55469-999
Custodia;56640-000 a 56669-999
Dormentes;56355-000 a 56359-999
Escada;55500-000 a 55509-999
Exu;56230-000 a 56249-999
Feira Nova;55715-000 a 55719-999
Fernando de Noronha;53990-000 a 53999-999
Ferreiros;55880-000 a 55889-999
Flores;56850-000 a 56869-999
Floresta;56400-000 a 56419-999
Frei Miguelinho;55780-000 a 55789-999
Gameleira;55530-000 a 55534-999
Garanhuns;55290-001 a 55304-999
Garanhuns;55290-001 a 55299-999
Gloria do Goita;55620-000 a 55629-999
Goiana;55900-000 a 55919-999
Granito;56160-000 a 56162-999
Gravata;55640-001 a 55649-999
Gravata;55640-001 a 55645-999
Iati;55345-000 a 55349-999
Ibimirim;56580-000 a 56599-999
Ibirajuba;55390-000 a 55394-999
Igarassu;53600-001 a 53689-999
Igarassu;53600-001 a 53659-999
Iguaraci;56840-000 a 56849-999
Ilha de Itamaraca;53900-000 a 53989-999
Inaja;56560-000 a 56564-999
Ingazeira;56830-000 a 56839-999
Ipojuca;55590-000 a 55599-999
Ipubi;56260-000 a 56279-999
Itacuruba;56430-000 a 56439-999
Itambe;55920-000 a 55929-999
Itapetim;56720-000 a 56739-999
Itapissuma;53700-000 a 53899-999
Itaquitinga;55950-000 a 55999-999
Itaiba;56550-000 a 56559-999
Jaboatao dos Guararapes;54000-001 a 54499-999
Jaqueira;55409-000 a 55409-999
Jatauba;55180-000 a 55189-999
Jatoba;56470-000 a 56479-999
Joaquim Nabuco;55535-000 a 55539-999
Joao Alfredo;55720-000 a 55729-999
Jucati;55398-000 a 55399-999
Jupi;55395-000 a 55397-999
Jurema;55480-000 a 55489-999
Lagoa Grande;56395-000 a 56399-999
Lagoa do Carro;55820-000 a 55824-999
Lagoa do Itaenga;55840-000 a 55844-999
Lagoa do Ouro;55320-000 a 55324-999
Lagoa dos Gatos;55450-000 a 55459-999
Lajedo;55385-000 a 55389-999
Limoeiro;55700-000 a 55714-999
Macaparana;55865-000 a 55869-999
Machados;55740-000 a 55744-999
Manari;56565-000 a 56579-999
Maraial;55405-000 a 55408-999
Mirandiba;56980-000 a 56999-999
Moreilandia;56150-000 a 56159-999
Moreno;54800-000 a 54999-999
Nazare da Mata;55800-000 a 55804-999
Olinda;53000-001 a 53399-999
Orobo;55745-000 a 55749-999
Oroco;56170-000 a 56179-999
Ouricuri;56200-000 a 56209-999
Palmares;55540-000 a 55549-999
Palmeirina;55310-000 a 55314-999
Panelas;55470-000 a 55479-999
Paranatama;55355-000 a 55359-999
Parnamirim;56163-000 a 56169-999
Passira;55650-000 a 55654-999
Paudalho;55825-000 a 55834-999
Paulista;53400-001 a 53499-999
Pedra;55280-000 a 55289-999
Pesqueira;55200-000 a 55239-999
Petrolina;56300-001 a 56354-999
Petrolina;56300-001 a 56334-999
Petrolandia;56460-000 a 56469-999
Pombos;55630-000 a 55635-999
Pocao;55240-000 a 55249-999
Primavera;55510-000 a 55514-999
Quipapa;55415-000 a 55419-999
Quixaba;56828-000 a 56829-999
Recife;50000-001 a 52999-999
Riacho das Almas;55120-000 a 55124-999
Ribeirao;55520-000 a 55524-999
Rio Formoso;55570-000 a 55577-999
Saire;55695-000 a 55699-999
Salgadinho;55675-000 a 55679-999
Salgueiro;56000-000 a 56119-999
Saloa;55350-000 a 55354-999
Sanharo;55250-000 a 55259-999
Santa Cruz;56215-000 a 56219-999
Santa Cruz da Baixa Verde;56895-000 a 56899-999
Santa Cruz do Capibaribe;55190-001 a 55199-999
Santa Cruz do Capibaribe;55190-001 a 55197-999
Santa Filomena;56210-000 a 56214-999
Santa Maria da Boa Vista;56380-000 a 56394-999
Santa Maria do Cambuca;55765-000 a 55769-999
Santa Terezinha;56750-000 a 56759-999
Serra Talhada;56900-001 a 56929-999
Serra Talhada;56900-001 a 56915-999
Serrita;56140-000 a 56149-999
Sertania;56600-000 a 56639-999
Sirinhaem;55580-000 a 55589-999
Solidao;56795-000 a 56799-999
Surubim;55750-000 a 55754-999
Sao Benedito do Sul;55410-000 a 55414-999
Sao Bento do Una;55370-000 a 55374-999
Sao Caitano;55130-000 a 55139-999
Sao Joaquim do Monte;55670-000 a 55674-999
Sao Jose da Coroa Grande;55565-000 a 55569-999
Sao Jose do Belmonte;56950-000 a 56979-999
Sao Jose do Egito;56700-000 a 56719-999
Sao Joao;55435-000 a 55439-999
Sao Lourenco da Mata;54700-001 a 54749-999
Sao Lourenco da Mata;54700-001 a 54748-999
Sao Vicente Ferrer;55860-000 a 55864-999
Tabira;56780-000 a 56794-999
Tacaimbo;55140-000 a 55149-999
Tacaratu;56480-000 a 56499-999
Tamandare;55578-000 a 55579-999
Taquaritinga do Norte;55790-000 a 55799-999
Terezinha;55305-000 a 55309-999
Terra Nova;56190-000 a 56199-999
Timbauba;55870-000 a 55879-999
Toritama;55125-000 a 55129-999
Tracunhaem;55805-000 a 55809-999
Trindade;56250-000 a 56259-999
Triunfo;56870-000 a 56894-999
Tupanatinga;56540-000 a 56549-999
Tuparetama;56760-000 a 56779-999
Venturosa;55270-000 a 55279-999
Verdejante;56120-000 a 56129-999
Vertente do Lerio;55760-000 a 55764-999
Vertentes;55770-000 a 55779-999
Vicencia;55850-000 a 55859-999
Vitoria de Santo Antao;55600-001 a 55619-999
Vitoria de Santo Antao;55600-001 a 55617-999
Xexeu;55555-000 a 55559-999
Agua Preta;55550-000 a 55554-999
Aguas Belas;55340-000 a 55344-999
Acaua;64748-000 a 64749-999
Agricolandia;64440-000 a 64444-999
Alagoinha do Piaui;64655-000 a 64659-999
Alegrete do Piaui;64675-000 a 64677-999
Alto Longa;64360-000 a 64364-999
Altos;64290-000 a 64294-999
Alvorada do Gurgueia;64923-000 a 64924-999
Amarante;64400-000 a 64409-999
Angical do Piaui;64410-000 a 64414-999
Antonio Almeida;64855-000 a 64857-999
Anisio de Abreu;64780-000 a 64781-999
Aroazes;64310-000 a 64314-999
Aroeiras do Itaim;64612-000 a 64612-999
Arraial;64480-000 a 64489-999
Assuncao do Piaui;64333-000 a 64334-999
Avelino Lopes;64965-000 a 64967-999
Baixa Grande do Ribeiro;64868-000 a 64869-999
Barra D'Alcantara;64528-000 a 64529-999
Barras;64100-000 a 64104-999
Barreiras do Piaui;64990-000 a 64992-999
Barro Duro;64455-000 a 64459-999
Batalha;64190-000 a 64199-999
Bela Vista do Piaui;64705-000 a 64709-999
Belem do Piaui;64678-000 a 64679-999
Beneditinos;64380-000 a 64387-999
Bertolinia;64870-000 a 64872-999
Betania do Piaui;64753-000 a 64754-999
Boa Hora;64108-000 a 64109-999
Bocaina;64630-000 a 64634-999
Bom Jesus;64900-000 a 64904-999
Bom Principio do Piaui;64225-000 a 64227-999
Bonfim do Piaui;64775-000 a 64777-999
Boqueirao do Piaui;64283-000 a 64284-999
Brasileira;64265-000 a 64269-999
Brejo do Piaui;64895-000 a 64897-999
Buriti dos Lopes;64230-000 a 64232-999
Buriti dos Montes;64345-000 a 64349-999
Cabeceiras do Piaui;64105-000 a 64107-999
Cajazeiras do Piaui;64514-000 a 64515-999
Cajueiro da Praia;64222-000 a 64223-999
Caldeirao Grande do Piaui;64695-000 a 64699-999
Campinas do Piaui;64730-000 a 64739-999
Campo Alegre do Fidalgo;64767-000 a 64767-999
Campo Grande do Piaui;64578-000 a 64579-999
Campo Largo do Piaui;64148-000 a 64149-999
Campo Maior;64280-000 a 64282-999
Canavieira;64833-000 a 64834-999
Canto do Buriti;64890-000 a 64892-999
Capitao Gervasio Oliveira;64763-000 a 64763-999
Capitao de Campos;64270-000 a 64274-999
Caracol;64795-000 a 64797-999
Caraubas do Piaui;64233-000 a 64234-999
Caridade do Piaui;64590-000 a 64594-999
Castelo do Piaui;64340-000 a 64342-999
Caxingo;64228-000 a 64229-999
Cocal;64235-000 a 64237-999
Cocal de Telha;64278-000 a 64279-999
Cocal dos Alves;64238-000 a 64239-999
Coivaras;64335-000 a 64339-999
Colonia do Gurgueia;64885-000 a 64889-999
Colonia do Piaui;64516-000 a 64517-999
Conceicao do Caninde;64740-000 a 64744-999
Coronel Jose Dias;64793-000 a 64794-999
Corrente;64980-000 a 64984-999
Cristalandia do Piaui;64995-000 a 64999-999
Cristino Castro;64920-000 a 64922-999
Curimata;64960-000 a 64962-999
Currais;64905-000 a 64909-999
Curral Novo do Piaui;64595-000 a 64599-999
Curralinhos;64453-000 a 64454-999
Demerval Lobao;64390-000 a 64394-999
Dirceu Arcoverde;64785-000 a 64787-999
Dom Expedito Lopes;64620-000 a 64624-999
Dom Inocencio;64790-000 a 64792-999
Domingos Mourao;64250-000 a 64252-999
Elesbao Veloso;64325-000 a 64329-999
Eliseu Martins;64880-000 a 64884-999
Esperantina;64180-000 a 64189-999
Fartura do Piaui;64788-000 a 64789-999
Flores do Piaui;64815-000 a 64819-999
Floresta do Piaui;64563-000 a 64564-999
Floriano;64800-001 a 64814-999
Floriano;64800-001 a 64809-999
Francinopolis;64520-000 a 64524-999
Francisco Ayres;64475-000 a 64479-999
Francisco Macedo;64683-000 a 64684-999
Francisco Santos;64645-000 a 64649-999
Fronteiras;64690-000 a 64694-999
Geminiano;64613-000 a 64614-999
Gilbues;64930-000 a 64939-999
Guadalupe;64840-000 a 64844-999
Guaribas;64798-000 a 64799-999
Hugo Napoleao;64470-000 a 64474-999
Ilha Grande;64224-000 a 64224-999
Inhuma;64535-000 a 64539-999
Ipiranga do Piaui;64540-000 a 64544-999
Isaias Coelho;64570-000 a 64572-999
Itainopolis;64565-000 a 64567-999
Itaueira;64820-000 a 64824-999
Jacobina do Piaui;64755-000 a 64757-999
Jaicos;64575-000 a 64577-999
Jardim do Mulato;64495-000 a 64499-999
Jatoba do Piaui;64275-000 a 64277-999
Jerumenha;64830-000 a 64832-999
Joaquim Pires;64170-000 a 64174-999
Joca Marques;64165-000 a 64167-999
Jose de Freitas;64110-000 a 64119-999
Joao Costa;64765-000 a 64766-999
Juazeiro do Piaui;64343-000 a 64344-999
Jurema;64782-000 a 64782-999
Julio Borges;64963-000 a 64964-999
Lagoa Alegre;64138-000 a 64139-999
Lagoa de Sao Francisco;64258-000 a 64259-999
Lagoa do Barro do Piaui;64768-000 a 64769-999
Lagoa do Piaui;64388-000 a 64389-999
Lagoa do Sitio;64308-000 a 64309-999
Lagoinha do Piaui;64465-000 a 64467-999
Landri Sales;64850-000 a 64854-999
Luzilandia;64160-000 a 64164-999
Luis Correia;64220-000 a 64221-999
Madeiro;64168-000 a 64169-999
Manoel Emidio;64875-000 a 64879-999
Marcolandia;64685-000 a 64687-999
Marcos Parente;64845-000 a 64849-999
Massape do Piaui;64573-000 a 64574-999
Matias Olimpio;64150-000 a 64154-999
Miguel Alves;64130-000 a 64137-999
Miguel Leao;64445-000 a 64449-999
Milton Brandao;64253-000 a 64254-999
Monsenhor Gil;64450-000 a 64452-999
Monsenhor Hipolito;64650-000 a 64654-999
Monte Alegre do Piaui;64940-000 a 64944-999
Morro Cabeca no Tempo;64968-000 a 64969-999
Morro do Chapeu do Piaui;64178-000 a 64179-999
Murici dos Portelas;64175-000 a 64177-999
Nazare do Piaui;64825-000 a 64829-999
Nazaria;64415-000 a 64419-999
Nossa Senhora de Nazare;64288-000 a 64289-999
Nossa Senhora dos Remedios;64140-000 a 64144-999
Nova Santa Rita;64764-000 a 64764-999
Novo Oriente do Piaui;64530-000 a 64534-999
Novo Santo Antonio;64365-000 a 64369-999
Oeiras;64500-000 a 64509-999
Olho D'Agua do Piaui;64468-000 a 64469-999
Padre Marcos;64680-000 a 64682-999
Paes Landim;64710-000 a 64719-999
Pajeu do Piaui;64898-000 a 64899-999
Palmeira do Piaui;64925-000 a 64929-999
Palmeirais;64420-000 a 64429-999
Paqueta;64618-000 a 64619-999
ParnAgua;64970-000 a 64974-999
Parnaiba;64200-001 a 64219-999
Passagem Franca do Piaui;64395-000 a 64399-999
Patos do Piaui;64580-000 a 64584-999
Pau D'Arco do Piaui;64295-000 a 64299-999
Paulistana;64750-000 a 64752-999
Pavussu;64838-000 a 64839-999
Pedro II;64255-000 a 64257-999
Pedro Laurentino;64728-000 a 64729-999
Picos;64600-001 a 64609-999
Picos;64600-001 a 64608-999
Pimenteiras;64320-000 a 64324-999
Pio IX;64660-000 a 64669-999
Piracuruca;64240-000 a 64242-999
Piripiri;64260-000 a 64264-999
Porto;64145-000 a 64147-999
Porto Alegre do Piaui;64858-000 a 64859-999
Prata do Piaui;64370-000 a 64374-999
Queimada Nova;64758-000 a 64759-999
Redencao do Gurgueia;64915-000 a 64919-999
Regeneracao;64490-000 a 64494-999
Riacho Frio;64975-000 a 64979-999
Ribeira do Piaui;64725-000 a 64727-999
Ribeiro Goncalves;64865-000 a 64867-999
Rio Grande do Piaui;64835-000 a 64837-999
Santa Cruz do Piaui;64545-000 a 64547-999
Santa Cruz dos Milagres;64315-000 a 64319-999
Santa Filomena;64945-000 a 64959-999
Santa Luz;64910-000 a 64914-999
Santa Rosa do Piaui;64518-000 a 64519-999
Santana do Piaui;64615-000 a 64617-999
Santo Antonio de Lisboa;64640-000 a 64644-999
Santo Antonio dos Milagres;64438-000 a 64439-999
Santo Inacio do Piaui;64560-000 a 64562-999
Sebastiao Barros;64985-000 a 64989-999
Sebastiao Leal;64873-000 a 64874-999
Sigefredo Pacheco;64285-000 a 64287-999
Simplicio Mendes;64700-000 a 64704-999
Simoes;64585-000 a 64589-999
Socorro do Piaui;64720-000 a 64724-999
Sussuapara;64610-000 a 64611-999
Sao Braz do Piaui;64783-000 a 64784-999
Sao Francisco de Assis do Piaui;64745-000 a 64747-999
Sao Francisco do Piaui;64550-000 a 64554-999
Sao Felix do Piaui;64375-000 a 64377-999
Sao Goncalo do Gurgueia;64993-000 a 64994-999
Sao Goncalo do Piaui;64435-000 a 64437-999
Sao Jose do Divino;64245-000 a 64249-999
Sao Jose do Peixe;64555-000 a 64557-999
Sao Jose do Piaui;64625-000 a 64629-999
Sao Joao da Canabrava;64635-000 a 64637-999
Sao Joao da Fronteira;64243-000 a 64244-999
Sao Joao da Serra;64350-000 a 64359-999
Sao Joao da Varjota;64510-000 a 64511-999
Sao Joao do Arraial;64155-000 a 64159-999
Sao Joao do Piaui;64760-000 a 64762-999
Sao Juliao;64670-000 a 64674-999
Sao Lourenco do Piaui;64778-000 a 64779-999
Sao Luis do Piaui;64638-000 a 64639-999
Sao Miguel da Baixa Grande;64378-000 a 64379-999
Sao Miguel do Fidalgo;64558-000 a 64559-999
Sao Miguel do Tapuio;64330-000 a 64332-999
Sao Pedro do Piaui;64430-000 a 64434-999
Sao Raimundo Nonato;64770-000 a 64772-999
Tamboril do Piaui;64893-000 a 64894-999
Tanque do Piaui;64512-000 a 64513-999
Teresina;64000-001 a 64099-999
Uniao;64120-000 a 64125-999
Urucui;64860-000 a 64864-999
Valenca do Piaui;64300-000 a 64307-999
Vera Mendes;64568-000 a 64569-999
Vila Nova do Piaui;64688-000 a 64689-999
Varzea Branca;64773-000 a 64774-999
Varzea Grande;64525-000 a 64527-999
Wall Ferraz;64548-000 a 64549-999
Agua Branca;64460-000 a 64464-999
Abatia;86460-000 a 86464-999
Adrianopolis;83490-000 a 83499-999
Agudos do Sul;83850-000 a 83859-999
Almirante Tamandare;83500-001 a 83534-999
Almirante Tamandare;83500-001 a 83529-999
Altamira do Parana;85280-000 a 85299-999
Alto Parana;87750-000 a 87759-999
Alto Paraiso;87528-000 a 87529-999
Alto Piquiri;87580-000 a 87594-999
Altonia;87550-000 a 87554-999
Alvorada do Sul;86150-000 a 86159-999
Amapora;87850-000 a 87859-999
Ampere;85640-000 a 85649-999
Anahy;85425-000 a 85429-999
Andira;86380-000 a 86384-999
Antonina;83370-000 a 83389-999
Antonio Olinto;83980-000 a 83999-999
Apucarana;86800-001 a 86819-999
Apucarana;86800-001 a 86815-999
Arapongas;86700-001 a 86719-999
Arapongas;86700-001 a 86716-999
Arapoti;84990-000 a 84999-999
Arapua;86884-000 a 86889-999
Araruna;87260-000 a 87264-999
Araucaria;83700-001 a 83729-999
Araucaria;83700-001 a 83724-999
Ariranha do Ivai;86880-000 a 86883-999
Assai;86220-000 a 86224-999
Assis Chateaubriand;85935-000 a 85939-999
Astorga;86730-000 a 86749-999
Atalaia;87630-000 a 87639-999
Balsa Nova;83650-000 a 83699-999
Bandeirantes;86360-000 a 86369-999
Barbosa Ferraz;86960-000 a 86969-999
Barra do Jacare;86385-000 a 86389-999
Barracao;85700-000 a 85707-999
Bela Vista da Caroba;85745-000 a 85749-999
Bela Vista do Paraiso;86130-000 a 86139-999
Bituruna;84640-000 a 84659-999
Boa Esperanca;87390-000 a 87394-999
Boa Esperanca do Iguacu;85680-000 a 85684-999
Boa Ventura de Sao Roque;85225-000 a 85229-999
Boa Vista da Aparecida;85780-000 a 85789-999
Bocaiuva do Sul;83450-000 a 83479-999
Bom Jesus do Sul;85708-000 a 85709-999
Bom Sucesso;86940-000 a 86944-999
Bom Sucesso do Sul;85515-000 a 85519-999
Borrazopolis;86925-000 a 86929-999
Braganey;85430-000 a 85439-999
Brasilandia do Sul;87595-000 a 87599-999
Cafeara;86640-000 a 86649-999
Cafelandia;85415-000 a 85419-999
Cafezal do Sul;87565-000 a 87569-999
California;86820-000 a 86824-999
Cambara;86390-000 a 86399-999
Cambira;86890-000 a 86894-999
Cambe;86180-001 a 86199-999
Cambe;86180-001 a 86195-999
Campina Grande do Sul;83430-000 a 83449-999
Campina da Lagoa;87345-000 a 87354-999
Campina do Simao;85148-000 a 85149-999
Campo Bonito;85450-000 a 85459-999
Campo Largo;83600-001 a 83649-999
Campo Largo;83600-001 a 83640-999
Campo Magro;83535-000 a 83539-999
Campo Mourao;87300-001 a 87319-999
Campo Mourao;87300-001 a 87314-999
Campo do Tenente;83870-000 a 83879-999
Candoi;85140-000 a 85144-999
Cantagalo;85160-000 a 85161-999
Capanema;85760-000 a 85769-999
Capitao Leonidas Marques;85790-000 a 85794-999
Carambei;84145-000 a 84149-999
Carlopolis;86420-000 a 86429-999
Cascavel;85800-001 a 85824-999
Cascavel;85800-001 a 85820-999
Castro;84160-001 a 84199-999
Castro;84160-001 a 84184-999
Catanduvas;85470-000 a 85477-999
Centenario do Sul;86630-000 a 86634-999
Cerro Azul;83570-000 a 83589-999
Chopinzinho;85560-000 a 85564-999
Cianorte;87200-001 a 87214-999
Cianorte;87200-001 a 87212-999
Cidade Gaucha;87820-000 a 87829-999
Clevelandia;85530-000 a 85539-999
Colombo;83400-001 a 83419-999
Colombo;83400-001 a 83415-999
Colorado;86690-000 a 86699-999
Congonhinhas;86320-000 a 86329-999
Conselheiro Mairinck;86480-000 a 86489-999
Contenda;83730-000 a 83749-999
Corbelia;85420-000 a 85422-999
Cornelio Procopio;86300-000 a 86309-999
Coronel Domingos Soares;85557-000 a 85559-999
Coronel Vivida;85550-000 a 85554-999
Corumbatai do Sul;86970-000 a 86974-999
Cruz Machado;84620-000 a 84629-999
Cruzeiro do Iguacu;85598-000 a 85599-999
Cruzeiro do Oeste;87400-000 a 87429-999
Cruzeiro do Sul;87650-000 a 87659-999
Cruzmaltina;86855-000 a 86859-999
Curitiba;80000-001 a 82999-999
Curiuva;84280-000 a 84284-999
Candido de Abreu;84470-000 a 84499-999
Ceu Azul;85840-000 a 85844-999
Diamante d'Oeste;85896-000 a 85897-999
Diamante do Norte;87990-000 a 87999-999
Diamante do Sul;85408-000 a 85409-999
Dois Vizinhos;85660-000 a 85669-999
Douradina;87485-000 a 87489-999
Doutor Camargo;87155-000 a 87159-999
Doutor Ulysses;83590-000 a 83599-999
Engenheiro Beltrao;87270-000 a 87279-999
Entre Rios do Oeste;85988-000 a 85989-999
Eneas Marques;85630-000 a 85634-999
Esperanca Nova;87545-000 a 87549-999
Espigao Alto do Iguacu;85465-000 a 85469-999
Farol;87325-000 a 87329-999
Faxinal;86840-000 a 86844-999
Fazenda Rio Grande;83820-001 a 83839-999
Fazenda Rio Grande;83820-001 a 83835-999
Fernandes Pinheiro;84535-000 a 84549-999
Figueira;84285-000 a 84289-999
Flor da Serra do Sul;85618-000 a 85619-999
Florai;87185-000 a 87189-999
Floresta;87120-000 a 87129-999
Florestopolis;86165-000 a 86169-999
Florida;86780-000 a 86789-999
Formosa do Oeste;85830-000 a 85832-999
Foz do Iguacu;85850-001 a 85874-999
Foz do Iguacu;85850-001 a 85871-999
Foz do Jordao;85145-000 a 85147-999
Francisco Alves;87570-000 a 87579-999
Francisco Beltrao;85600-001 a 85609-999
Francisco Beltrao;85600-001 a 85606-999
Fenix;86950-000 a 86959-999
General Carneiro;84660-000 a 84899-999
Godoy Moreira;86938-000 a 86939-999
Goioere;87360-000 a 87364-999
Goioxim;85162-000 a 85167-999
Grandes Rios;86845-000 a 86847-999
Guairaca;87880-000 a 87889-999
Guamiranga;84435-000 a 84449-999
Guapirama;86465-000 a 86469-999
Guaporema;87810-000 a 87819-999
Guaraci;86620-000 a 86629-999
Guaraniacu;85400-000 a 85407-999
Guarapuava;85000-001 a 85139-999
Guarapuava;85000-001 a 85100-999
Guaraquecaba;83390-000 a 83399-999
Guaratuba;83280-000 a 83299-999
Guaira;85980-000 a 85987-999
Honorio Serpa;85548-000 a 85549-999
Ibaiti;84900-000 a 84919-999
Ibema;85478-000 a 85484-999
Ibipora;86200-000 a 86209-999
Icaraima;87530-000 a 87534-999
Iguaracu;86750-000 a 86754-999
Iguatu;85423-000 a 85424-999
Imbau;84250-000 a 84259-999
Imbituva;84430-000 a 84434-999
Inaja;87670-000 a 87679-999
Indianopolis;87235-000 a 87239-999
Inacio Martins;85155-000 a 85159-999
Ipiranga;84450-000 a 84459-999
Ipora;87560-000 a 87564-999
Iracema do Oeste;85833-000 a 85834-999
Irati;84500-001 a 84509-999
Irati;84500-001 a 84508-999
Iretama;87280-000 a 87289-999
ItAguaje;86670-000 a 86679-999
Itaipulandia;85880-000 a 85883-999
Itambaraca;86375-000 a 86379-999
Itambe;87175-000 a 87179-999
Itapejara d'Oeste;85580-000 a 85584-999
Itaperucu;83560-000 a 83569-999
Itauna do Sul;87980-000 a 87989-999
Ivaipora;86870-000 a 86879-999
Ivatuba;87130-000 a 87139-999
Ivate;87525-000 a 87527-999
Ivai;84460-000 a 84469-999
Jaboti;84930-000 a 84934-999
Jacarezinho;86400-000 a 86409-999
JAguapita;86610-000 a 86612-999
JAguariaiva;84200-000 a 84219-999
Jandaia do Sul;86900-000 a 86909-999
Janiopolis;87380-000 a 87389-999
Japira;84920-000 a 84924-999
Japura;87225-000 a 87229-999
Jardim Alegre;86860-000 a 86864-999
Jardim Olinda;87690-000 a 87699-999
Jataizinho;86210-000 a 86219-999
Jesuitas;85835-000 a 85839-999
Joaquim Tavora;86455-000 a 86459-999
Jundiai do Sul;86470-000 a 86479-999
Juranda;87355-000 a 87359-999
Jussara;87230-000 a 87234-999
Kalore;86920-000 a 86924-999
Lapa;83750-000 a 83799-999
Laranjal;85275-000 a 85279-999
Laranjeiras do Sul;85300-001 a 85339-999
Laranjeiras do Sul;85300-001 a 85319-999
Leopolis;86330-000 a 86339-999
Lidianopolis;86865-000 a 86869-999
Lindoeste;85826-000 a 85829-999
Loanda;87900-000 a 87909-999
Lobato;86790-000 a 86799-999
Londrina;86000-001 a 86124-999
Londrina;86000-001 a 86099-999
Luiziana;87290-000 a 87299-999
Lunardelli;86935-000 a 86937-999
Lupionopolis;86635-000 a 86639-999
Mallet;84570-000 a 84599-999
Mambore;87340-000 a 87344-999
MandAguari;86975-000 a 86989-999
MandAguacu;87160-000 a 87169-999
Mandirituba;83800-000 a 83819-999
Manfrinopolis;85628-000 a 85629-999
Mangueirinha;85540-000 a 85547-999
Manoel Ribas;85260-000 a 85269-999
Marechal Candido Rondon;85960-000 a 85979-999
Maria Helena;87480-000 a 87484-999
Marialva;86990-000 a 86999-999
Marilena;87960-000 a 87969-999
Mariluz;87470-000 a 87479-999
Marilandia do Sul;86825-000 a 86827-999
Maringa;87000-001 a 87109-999
Maripa;85955-000 a 85959-999
Mariopolis;85525-000 a 85529-999
Marmeleiro;85615-000 a 85617-999
Marquinho;85168-000 a 85169-999
Marumbi;86910-000 a 86919-999
Matelandia;85887-000 a 85887-999
Matinhos;83260-000 a 83279-999
Mato Rico;85240-000 a 85249-999
Maua da Serra;86828-000 a 86829-999
Medianeira;85884-000 a 85884-999
Mercedes;85998-000 a 85999-999
Mirador;87840-000 a 87849-999
Miraselva;86615-000 a 86617-999
Missal;85890-000 a 85891-999
Moreira Sales;87370-000 a 87379-999
Morretes;83350-000 a 83369-999
Munhoz de Melo;86760-000 a 86769-999
Nossa Senhora das Gracas;86680-000 a 86689-999
Nova Alianca do Ivai;87790-000 a 87799-999
Nova America da Colina;86230-000 a 86239-999
Nova Aurora;85410-000 a 85414-999
Nova Cantu;87330-000 a 87339-999
Nova Esperanca;87600-000 a 87629-999
Nova Esperanca do Sudoeste;85635-000 a 85639-999
Nova Fatima;86310-000 a 86314-999
Nova Laranjeiras;85350-000 a 85389-999
Nova Londrina;87970-000 a 87979-999
Nova Olimpia;87490-000 a 87499-999
Nova Prata do Iguacu;85685-000 a 85699-999
Nova Santa Barbara;86250-000 a 86269-999
Nova Santa Rosa;85930-000 a 85932-999
Nova Tebas;85250-000 a 85259-999
Novo Itacolomi;86895-000 a 86899-999
Ortigueira;84350-000 a 84399-999
Ourizona;87170-000 a 87174-999
Ouro Verde do Oeste;85933-000 a 85934-999
Paicandu;87140-000 a 87154-999
Palmas;85555-000 a 85556-999
Palmeira;84130-000 a 84139-999
Palmital;85270-000 a 85274-999
Palotina;85950-000 a 85954-999
Paranacity;87660-000 a 87669-999
ParanAgua;83200-001 a 83254-999
ParanAgua;83200-001 a 83249-999
Paranapoema;87680-000 a 87689-999
Paranavai;87700-001 a 87729-999
Paranavai;87700-001 a 87721-999
Paraiso do Norte;87780-000 a 87789-999
Pato Bragado;85948-000 a 85949-999
Pato Branco;85500-001 a 85514-999
Pato Branco;85500-001 a 85513-999
Paula Freitas;84630-000 a 84634-999
Paulo Frontin;84635-000 a 84639-999
Peabiru;87250-000 a 87259-999
Perobal;87538-000 a 87539-999
Pinhais;83320-001 a 83349-999
Pinhal de Sao Bento;85727-000 a 85729-999
Pinhalao;84925-000 a 84929-999
Pinhao;85170-000 a 85194-999
Piraquara;83300-001 a 83319-999
Piraquara;83300-001 a 83318-999
Pirai do Sul;84240-000 a 84249-999
Pitanga;85200-000 a 85224-999
Pitangueiras;86613-000 a 86614-999
Pien;83860-000 a 83869-999
Planaltina do Parana;87860-000 a 87879-999
Planalto;85750-000 a 85759-999
Ponta Grossa;84000-001 a 84129-999
Ponta Grossa;84000-001 a 84099-999
